<Entity>
  <Name>
    trigger
  <Tag>
    Standard
  <Transform>
    <Position>
	  0.0 0.0
	<Scale>
	  16 16
	<Rotation>
	  00
  </Transform>
  <Mesh>
	<Count>
	  6
	<Points>
	  -0.5 -0.5
	   255 0 0 255
	   0 1
	  -0.5  0.5
	   255 0 0 255
	   0 0
	   0.5  0.5
	   255 0 0 255
	   1 0	
	   0.5  0.5
	   255 0 0 255
	   1 0	
	   0.5 -0.5
	   255 0 0 255
	   1 1
	  -0.5 -0.5
	   255 0 0 255
	   0 1 
  </Mesh>		 
  <RectCollider>
   <Collider>
    <isTrigger>
	 true
   </Collider>
   <Width>
    16
   <Height>
    16
  </RectCollider>
